Identifier,Topic Key,English Source,Machine Translation,Edit Required,Clinical Harm Potential,Post-Edited Translation,CMQM Categories,MQM Categories,Notes
SA107.1,llm-cataract@1.0.0,it's not that much it's going to be going down now it's not that much but there's nothing left,“这并不是很多，现在会减少，这并不是很多，但是已经没有剩下什么了”,,,,,,
SA107.2,llm-cataract@1.0.0,the redness has cleared out now apart from a little bit in the corner,红肿已经消退了，现在只剩下眼角处有一点点。,,,,,,
SA107.3,llm-cataract@1.0.0,"the redness is almost completely gone, apart from a bit in the corner",红肿几乎完全消失了，除了角落里还有一点点。,,,,,,
SA107.4,llm-cataract@1.0.0,"no, I don't think so.",不，我不这么认为。,,,,,,
SQ108,llm-cataract@1.0.0,is your eye currently red,你現在的眼睛是紅的嗎,No,minor,,,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA108.1,llm-cataract@1.0.0,I did in the beginning but not anymore,我曾经那样做，但现在不再那样做了,,,,,,
SA108.2,llm-cataract@1.0.0,in the one that had the cataract yes,在那有白内障的那一个，是的,Yes,,是的，患有白内障的那一个。,linguistic_quality,,
SA108.3,llm-cataract@1.0.0,the inflammation has almost disappeared there's a little redness in the corner but nothing much,炎症几乎消失了，只在角落处有一点红肿，但没什么大不了的。,,,,,,
SA108.4,llm-cataract@1.0.0,it was bloodshot but is not anymore,它曾经是血丝密布的，但现在已经不是了,,,,,,
SA108.5,llm-cataract@1.0.0,no it was red before but now it's not red now,“ 不是，它以前是红色的，但现在不是红色的了 ”,,,,,,
SA108.6,llm-cataract@1.0.0,my eyes are not read,我的眼睛看不见,,,,,,
SA108.7,llm-cataract@1.0.0,no I need red slightly like blood shot on one corner,“不，我需要红色，稍微像一只血丝的样子，在一个角落”,Yes,,不，我需要红色，像血丝一样，在一个角落里。,linguistic_quality,,wrong answer
SA108.8,llm-cataract@1.0.0,my eye is irritated,我的眼睛发炎,,,,,,
SA108.9,llm-cataract@1.0.0,yes my eye is in pain,是的，我的眼睛很痛,,,,,,
SA108.10,llm-cataract@1.0.0,slightly red,微微发红,,,,,,
SA108.11,llm-cataract@1.0.0,let me check,让我检查一下,,,,,,
SA108.12,llm-cataract@1.0.0,I think it's okay I don't know really,我觉得没关系，我真的不知道,,,,,,
SA108.13,llm-cataract@1.0.0,I'm sorry I can't really say,对不起，我真的说不出来,,,,,,
SQ144,llm-cataract@1.0.0,"So, how's your left eye doing since the surgery?",那么，你的左眼在手术后怎么样了？,,,,,,
SA144.1,llm-cataract@1.0.0,"Fine thanks. No blurriness, no floaters, no pain, no redness. I would like to get my other eye surgery done soon though.",“ 很好，谢谢。没有模糊感，没有眼前漂浮物，没有疼痛，没有红肿。但是我希望尽快做完另一只眼的手术。 ”,,,,,,
R44,llm-cataract@1.0.0,yes its painful when i look into the light,是的，当我凝视光明时会感到痛苦,Yes,,"是的，当我凝视光时会感到疼痛
",linguistic_quality,,
R45,llm-cataract@1.0.0,when i look at bright lights its sore,当我看亮光时会感到疼痛,Yes,,看强光会觉得疼。,linguistic_quality,,
R46,llm-cataract@1.0.0,when i look at bright lights it definitely gets worse,当我看亮光时，它绝对会变得更糟。,Yes,,当我看强光时，它绝对会变得更糟。,linguistic_quality,,
R47,llm-cataract@1.0.0,its very sensitive to light,对光线非常敏感,,,,,,
R48,llm-cataract@1.0.0,its very sore when looking at light,看光线时很疼,,,,,,
R49,llm-cataract@1.0.0,it's been fine the vision was a bit blurry to start with but it's getting a bit better and the eyes really Itchy and Scratchy,一切都还行，刚开始视力有点模糊，但现在好些了，眼睛真的很痒，总想挠。,,,,,,
R50,llm-cataract@1.0.0,"Yeah... I have. They're, um, pretty rare, though. I'd say I see them, erm, every now and then. When I do see them, they're like... thin lines, I guess. Not like camera flashes or anything, just kind of... fleeting lines of light. It's a bit hard to describe, but that's what it's like.",是的……我见过。它们，嗯，挺罕见的。 我想我会看到它们，嗯，大概隔一段时间就会看到一次。当我看到它们时，它们就像……细线，我猜。 不像相机闪光什么的，只是有点……闪烁的光线。 这有点难以描述，但那就是它的样子。,Yes,,是啊……我见过。不过，嗯，它们挺少见的。我大概是偶尔能看到。每次看到的时候，它们就像……细线，我想。不是那种闪光灯之类的，就是……一闪而过的光线。有点难形容，但大概就是那种感觉。,linguistic_quality,,
R51,llm-cataract@1.0.0,no none of those,没有那些,,,,,,
R52,llm-cataract@1.0.0,um no it's I'm experiencing it all the time,“嗯，不，我一直都在经历这一切”,,,,,,
R53,llm-cataract@1.0.0,yeah a bit when I'm reading,是的，有点，当我在读的时候,Yes,,是的，有点，当我在读书的时候,linguistic_quality,,
R54,llm-cataract@1.0.0,just in the corner by the nose,就在鼻子旁边的角落里,,,,,,
R55,llm-cataract@1.0.0,yes a little bit in the corner,是的，在角落里有一点儿,,,,,,
R56,llm-cataract@1.0.0,yeah always,是的，总是,,,,,,
R57,llm-cataract@1.0.0,yes thats right,是的，那是对的,,,,,,
R58,llm-cataract@1.0.0,yeah all over,“是的，无处不在”,,,,,,
R101,llm-cataract@1.0.0,it hurts much more than just being gritty,它的痛苦远远超过了单纯的坚韧,,,,,,
R102,llm-cataract@1.0.0,slightly saw,稍微看到了,,,,,,
R103,llm-cataract@1.0.0,no just a bit uncomfortable,只是有点不舒服,,,,,,
R104,llm-cataract@1.0.0,yeah yes it is kind of stingy in my eye,是的，在我看来确实有点小气,Yes,,是的，它确实有点刺痛我的眼睛。,ungrounded_content,,
R105,llm-cataract@1.0.0,"it is painful,",很痛，,,,,,,
R106,llm-cataract@1.0.0,I would say some of the time it's a bit tender,我会说有时候它有点嫩,Yes,,我觉得有时候它有点软。,linguistic_quality,,
R107,llm-cataract@1.0.0,yes sometimes it hurts I feel it when I think I shouldn't I'm aware of it it has it gives me a dull ache,是的，有时候它会伤害我，我会感觉到它，当我以为我不应该这样的时候，我知道它，它给我带来一种钝痛,Yes,,是的，有时候会疼，明明不应该疼的时候也会疼，但我能感觉到，它确实疼，给我一种隐隐作痛的感觉。,linguistic_quality,,
R108,llm-cataract@1.0.0,some sparkly lights,闪闪发光的灯光,,,,,,
R109,llm-cataract@1.0.0,yeah like kind of flashing light like having a picture,是的，就像闪烁的灯光一样，就像有一张图片,,,,,,
R110,llm-cataract@1.0.0,Oh that's what those are yes I do see flashing lights,哦，那些就是这样，是的，我看见闪烁的灯光了,,,,,,
R111,llm-cataract@1.0.0,it's more it's about fifty percent right,它更多的是大约五十％正确,Yes,,更确切地说，大概有百分之五十是对的。,linguistic_quality,,
R112,llm-cataract@1.0.0,slightly but no more than than the other one I think it was probably a bit red before the operation as well,稍微有一点但是没有超过另外一个，我想在手术之前可能也有点红吧,Yes,,比另一只眼睛略微红一点，但我觉得应该差不多，手术前可能也有点红。,linguistic_quality,,
R113,llm-cataract@1.0.0,a bit of it is red,有一点是红色的,,,,,,
R114,llm-cataract@1.0.0,it's not quite all white,并非完全是白色的,,,,,,
R115,llm-cataract@1.0.0,the rest of my eye is not white,我的眼睛的其他部分不是白色的,,,,,,
R116,llm-cataract@1.0.0,yeah it is red yep,“ 是的，它是红色的，是的 ”,,,,,,
R117,llm-cataract@1.0.0,red,红色,,,,,,
R118,llm-cataract@1.0.0,my eye is red,我的眼睛发红,,,,,,
R119,llm-cataract@1.0.0,yes lots and lots of small dark dots keep popping in and out of my vision,是的，有很多很多小的黑点不断地在我的视野中闪现和消失,,,,,,
R120,llm-cataract@1.0.0,i have floaters and blurry vision,我有眼花和视力模糊的情况,,,,,,
R129,llm-cataract@1.0.0,yes i have,是的，我有,,,,,,
R130,llm-cataract@1.0.0,No,不,,,,,,
R143,llm-cataract@1.0.0,okay,“好的”,,,,,,
R144,llm-cataract@1.0.0,i had surgery only on the 1 eye,我只在一只眼上做了手术,,,,,,
R145,llm-cataract@1.0.0,"Everything's a bit fuzzy when I try to read, but I can see the TV just fine",我尝试读东西的时候一切都有点模糊，但我可以很清楚地看到电视,,,,,,
R146,llm-cataract@1.0.0,"I can't see things clearly up close or far away, everything is blurry",我近处和远处都看不清楚，一切都模糊不清,,,,,,
R147,llm-cataract@1.0.0,There are more cobwebs in my vision since the surgery,手术后我的视野里有更多的蛛网状物,,,,,,
R148,llm-cataract@1.0.0,I keep seeing these little black specks that move around when I look at something,我一直看到这些小的黑点，当我看着某物时，它们会四处移动,Yes,,我看东西的时候，总能看到一些黑色的小点在移动。,linguistic_quality,,
R149,llm-cataract@1.0.0,"The eye is very bloodshot, much redder than normal",眼睛非常发红，远比正常情况下要红得多,Yes,,眼睛充血严重，比平时红得多。,linguistic_quality,,
R150,llm-cataract@1.0.0,"My eye is bright pink all around, not just in one spot",我的眼睛周围都是鲜亮的粉红色，不只是某一个地方,Yes,,我的眼睛整体都泛着亮粉色，不是只有某一点。,linguistic_quality,,
R151,llm-cataract@1.0.0,The white part of my eye has gotten much redder over the last day,我的眼白在过去的一天里变得更加红了,,,,,,
R152,llm-cataract@1.0.0,"I'm seeing these bright arcs of light, especially in the dark",我看到这些明亮的光弧，尤其是在黑暗中,,,,,,
R153,llm-cataract@1.0.0,Sometimes I see these lightning-like flashes in the corner of my eye,有时候我会在眼角看到这些像闪电一样的闪光,,,,,,
R154,llm-cataract@1.0.0,There are these brief bright flashes that come and go,有这些短暂的闪光时刻，来去匆匆,Yes,,这些短暂的强光忽明忽暗地闪过。,linguistic_quality,,
R155,llm-cataract@1.0.0,"I feel a sharp stabbing sensation in my eye, especially when I blink",我感到眼睛里有一种尖锐的刺痛感，尤其是在我眨眼的时候,,,,,,
R156,llm-cataract@1.0.0,My eye feels very dry and scratchy all the time,我的眼睛一直感到非常干燥和发痒,,,,,,
R157,llm-cataract@1.0.0,I have both floaters and flashing lights since the surgery,手术后，我同时出现了眼前漂浮物和闪烁的光。,,,,,,
R158,llm-cataract@1.0.0,My eye hurts badly and I can't see properly either,我的眼睛很痛，也看不清楚,,,,,,
R159,llm-cataract@1.0.0,"The eye is very red and painful, and I keep seeing these flashing lights",我的眼睛非常红且很痛，我一直看到这些闪烁的灯光,No,minor,,,,
FQ1,llm-preop-cataract@1.0.0,"Is your eyesight affecting your ability to work, drive, read, watch TV, or recognise faces?",你的视力是否影响了你工作、驾驶、阅读、看电视或辨认面孔的能力？,,,,,,
FA1.1,llm-preop-cataract@1.0.0,yes I can't read the newspaper anymore,是的，我再也不能读报了,,,,,,
FA1.2,llm-preop-cataract@1.0.0,yes and I've fallen twice going down the stairs,是的，我已经两次在走下楼梯的时候摔倒了,,,,,,
FA1.3,llm-preop-cataract@1.0.0,I struggle to recognize people's faces and I feel unsteady when walking,我很难认出别人的脸，而且走路的时候会感到不稳。,,,,,,
FA1.4,llm-preop-cataract@1.0.0,reading is becoming a problem,阅读越来越成问题,,,,,,
FA1.5,llm-preop-cataract@1.0.0,yes it's hard to drive at night and I've had a few stumbles recently,是的，晚上开车很难，最近我也遇到了一些问题,,,,,,
FA1.6,llm-preop-cataract@1.0.0,I go more slowly now especially on stairs,我现在走得更慢，尤其是走楼梯的时候,,,,,,
FQ6,llm-preop-cataract@1.0.0,Is your eyesight causing falls or mobility problems?,您的视力是否导致跌倒或行动不便？,,,,,,
FA6.1,llm-preop-cataract@1.0.0,yes I've fallen a few times,是的，我已经摔倒过几次了,,,,,,
FA6.2,llm-preop-cataract@1.0.0,no not really,“不，不真的”,,,,,,
FA6.3,llm-preop-cataract@1.0.0,I feel a bit unbalanced sometimes going downstairs,有时候走下楼梯我会感到有点失去平衡,,,,,,
FA6.4,llm-preop-cataract@1.0.0,I go more slowly,我走得更慢一些,,,,,,
FQ74,llm-preop-cataract@1.0.0,Is your eyesight,你的视力怎么样？,,,,,,
FA74.1,llm-preop-cataract@1.0.0,yes,是的,,,,,,
FQ75,llm-preop-cataract@1.0.0,Is your eyesight affecting,你的视力是否受到影响,,,,,,
FA75.1,llm-preop-cataract@1.0.0,yes,是的,,,,,,
